"mad_gdppc","cname","bicc_gmi","bmr_dem","ht_region"
27370.5546875,"Lithuania",194,"Yes","Eastern Europe and post Soviet Uniono"
57427.5,"Luxembourg",116,"Yes","Western Europe and North America"
1427.60034179688,"Madagascar",62,"No","Sub-Saharan Africa"
1116.64025878906,"Malawi",86,"Yes","Sub-Saharan Africa"
24842.35546875,"Malaysia",133,"No","South-East Asia"
NA,"Maldives",NA,"No","South Asia"
1667.29504394531,"Mali",133,"No","Sub-Saharan Africa"
32028.912109375,"Malta",44,"Yes","Western Europe and North America"
3457.51489257812,"Mauritania",205,"No","Sub-Saharan Africa"
20138.572265625,"Mauritius",47,"Yes","Sub-Saharan Africa"
16494.078125,"Mexico",65,"Yes","Latin America"
NA,"Monaco",NA,"Yes","Western Europe and North America"
13382.5419921875,"Mongolia",207,"Yes","East Asia"
6746.728515625,"Moldova (the Republic of)",118,"Yes","Eastern Europe and post Soviet Uniono"
19504.158203125,"Montenegro",219,"Yes","Eastern Europe and post Soviet Uniono"
8451.1357421875,"Morocco",217,"No","North Africa & the Middle East"
1132.77087402344,"Mozambique",107,"No","Sub-Saharan Africa"
36477.63671875,"Oman",313,"No","North Africa & the Middle East"
9043.1201171875,"Namibia",200,"No","Sub-Saharan Africa"
NA,"Nauru",NA,"Yes","The Pacfic"
2727.423828125,"Nepal",116,"Yes","South Asia"
47474.109375,"Netherlands (the)",115,"Yes","Western Europe and North America"
NA,"Vanuatu",NA,"Yes","The Pacfic"
35336.13671875,"New Zealand",102,"Yes","Western Europe and North America"
4952.47705078125,"Nicaragua",123,"No","Latin America"
964.660095214844,"Niger (the)",118,"No","Sub-Saharan Africa"
5237.662109375,"Nigeria",67,"Yes","Sub-Saharan Africa"
84580.1328125,"Norway",177,"Yes","Western Europe and North America"
NA,"Micronesia (Federated States of)",NA,"Yes","The Pacfic"
NA,"Marshall Islands",NA,"Yes","The Pacfic"
NA,"Palau",NA,"Yes","The Pacfic"
5510.396484375,"Pakistan",205,"No","South Asia"
22637.1484375,"Panama",36,"Yes","Latin America"
NA,"Papua New Guinea",50,"Yes","The Pacfic"
9338.9482421875,"Paraguay",90,"Yes","Latin America"
12310.0849609375,"Peru",138,"Yes","Latin America"
8139.1396484375,"Philippines (the)",79,"Yes","South-East Asia"
27455.236328125,"Poland",177,"Yes","Eastern Europe and post Soviet Uniono"
27035.599609375,"Portugal",156,"Yes","Western Europe and North America"
1501.41357421875,"Guinea-Bissau",162,"No","Sub-Saharan Africa"
NA,"Timor-Leste",54,"Yes","South-East Asia"
153764.171875,"Qatar",NA,"No","North Africa & the Middle East"
20126.29296875,"Romania",189,"Yes","Eastern Europe and post Soviet Uniono"
24668.908203125,"Russian Federation (the)",283,"No","Eastern Europe and post Soviet Uniono"
1929.28515625,"Rwanda",132,"No","Sub-Saharan Africa"
NA,"Saint Kitts and Nevis",NA,"Yes","The Caribbean"
10475.369140625,"Saint Lucia",NA,"Yes","The Caribbean"
NA,"Saint Vincent and the Grenadines",NA,"Yes","The Caribbean"
NA,"San Marino",NA,"Yes","Western Europe and North America"
3730.20458984375,"Sao Tome and Principe",NA,"Yes","Sub-Saharan Africa"
50304.75,"Saudi Arabia",307,"No","North Africa & the Middle East"
2617.12451171875,"Senegal",133,"Yes","Sub-Saharan Africa"
